I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.551020408163265030e-01,3.228266197335415768e+02,6.699011976585507000e+02,2.065660000000000000e+05,1.071470000000000000e+05,8.596687632362943754e-01
6.734693877551020114e-01,3.228203111367015481e+02,6.699011976585507000e+02,2.064670000000000000e+05,1.071880000000000000e+05,9.063065226896623860e-01
6.918367346938775198e-01,3.228212379948024591e+02,6.699011976585507000e+02,2.066030000000000000e+05,1.072050000000000000e+05,8.654130358988807448e-01
7.102040816326530281e-01,3.228383654853934104e+02,6.699011976585507000e+02,2.066770000000000000e+05,1.071440000000000000e+05,8.966306461795153782e-01
7.285714285714285365e-01,3.228351654946842473e+02,6.699011976585507000e+02,2.065290000000000000e+05,1.072480000000000000e+05,9.037046818811027560e-01
7.469387755102040449e-01,3.228274291662613109e+02,6.699011976585507000e+02,2.067540000000000000e+05,1.071790000000000000e+05,9.168699760957315092e-01
7.653061224489795533e-01,3.228304367124420082e+02,6.699011976585507000e+02,2.068520000000000000e+05,1.071990000000000000e+05,8.748154875600735458e-01
7.836734693877550617e-01,3.228299261989413367e+02,6.699011976585507000e+02,2.066670000000000000e+05,1.071950000000000000e+05,9.028428868492582859e-01
8.020408163265305701e-01,3.228396162111306467e+02,6.699011976585507000e+02,2.064650000000000000e+05,1.071440000000000000e+05,9.042003147269793706e-01
8.204081632653061895e-01,3.228315608561129011e+02,6.699011976585507000e+02,2.066870000000000000e+05,1.072630000000000000e+05,9.055520053900232291e-01
8.387755102040816979e-01,3.228277564488041662e+02,6.699011976585507000e+02,2.066300000000000000e+05,1.071770000000000000e+05,9.038896549536986624e-01
8.571428571428572063e-01,3.228120591327909779e+02,6.699011976585507000e+02,2.065350000000000000e+05,1.071360000000000000e+05,8.690849475694075732e-01
8.755102040816327147e-01,3.228310383809457562e+02,6.699011976585507000e+02,2.066330000000000000e+05,1.071500000000000000e+05,8.808943112956195698e-01
8.938775510204082231e-01,3.228368869815695916e+02,6.699011976585507000e+02,2.066890000000000000e+05,1.071880000000000000e+05,8.988370427870624457e-01
9.122448979591837315e-01,3.228306102306480057e+02,6.699011976585507000e+02,2.065570000000000000e+05,1.072210000000000000e+05,8.811146245342613703e-01
9.306122448979592399e-01,3.228316002044196011e+02,6.699011976585507000e+02,2.066640000000000000e+05,1.071910000000000000e+05,8.922996101555654702e-01
9.489795918367347483e-01,3.228162473678663673e+02,6.699011976585507000e+02,2.065210000000000000e+05,1.071520000000000000e+05,8.653829310379282935e-01
9.673469387755102566e-01,3.228251908897153726e+02,6.699011976585507000e+02,2.065760000000000000e+05,1.071940000000000000e+05,8.919008921851917515e-01
9.857142857142857650e-01,3.228261978292887306e+02,6.699011976585507000e+02,2.066390000000000000e+05,1.071870000000000000e+05,9.065855214582498878e-01
1.004081632653061273e+00,3.228161108042123715e+02,6.699011976585507000e+02,2.067180000000000000e+05,1.072100000000000000e+05,8.902289779972818451e-01
1.022448979591836782e+00,3.228244271954758915e+02,6.699011976585507000e+02,2.065090000000000000e+05,1.071920000000000000e+05,8.958211079680875599e-01
1.040816326530612290e+00,3.228302082852127910e+02,6.699011976585507000e+02,2.066150000000000000e+05,1.072040000000000000e+05,8.653181210227859355e-01
1.059183673469387799e+00,3.228219004329183122e+02,6.699011976585507000e+02,2.066270000000000000e+05,1.071750000000000000e+05,8.928079570796889630e-01
1.077551020408163307e+00,3.228190297603715635e+02,6.699011976585507000e+02,2.066460000000000000e+05,1.071490000000000000e+05,8.890572042932403107e-01
1.095918367346938815e+00,3.228303847674466169e+02,6.699011976585507000e+02,2.066310000000000000e+05,1.072010000000000000e+05,8.821343151183448361e-01
1.114285714285714324e+00,3.228388613487484804e+02,6.699011976585507000e+02,2.065290000000000000e+05,1.071830000000000000e+05,8.750972881877183696e-01
1.132653061224489832e+00,3.228283816761879166e+02,6.699011976585507000e+02,2.065350000000000000e+05,1.071680000000000000e+05,9.065940946582680127e-01
1.151020408163265341e+00,3.228356839046996924e+02,6.699011976585507000e+02,2.066600000000000000e+05,1.072330000000000000e+05,8.990972936104292268e-01
1.169387755102040849e+00,3.228324708225446216e+02,6.699011976585507000e+02,2.066380000000000000e+05,1.071800000000000000e+05,8.833866443164092308e-01
1.187755102040816357e+00,3.228378703214288521e+02,6.699011976585507000e+02,2.066450000000000000e+05,1.071470000000000000e+05,8.613794423875262840e-01
1.206122448979591866e+00,3.228318842206189743e+02,6.699011976585507000e+02,2.067240000000000000e+05,1.072230000000000000e+05,8.965224482607646594e-01
1.224489795918367374e+00,3.228386489663668044e+02,6.699011976585507000e+02,2.065850000000000000e+05,1.072020000000000000e+05,8.591545992971393320e-01
1.242857142857142883e+00,3.228472534602394717e+02,6.699011976585507000e+02,2.065310000000000000e+05,1.071360000000000000e+05,8.756386109232969783e-01
1.261224489795918391e+00,3.228386338720764002e+02,6.699011976585507000e+02,2.065150000000000000e+05,1.071510000000000000e+05,8.873290141226227723e-01
1.279591836734693899e+00,3.228489976239048929e+02,6.699011976585507000e+02,2.066310000000000000e+05,1.072250000000000000e+05,8.691002427014075105e-01
1.297959183673469408e+00,3.228472582515943827e+02,6.699011976585507000e+02,2.066680000000000000e+05,1.072260000000000000e+05,8.988294782445654940e-01
1.316326530612244916e+00,3.228386017234839755e+02,6.699011976585507000e+02,2.066740000000000000e+05,1.071650000000000000e+05,9.080422121259169588e-01
1.334693877551020424e+00,3.228393268960589353e+02,6.699011976585507000e+02,2.066400000000000000e+05,1.071350000000000000e+05,8.682001288334829647e-01
1.353061224489795933e+00,3.228436533422081425e+02,6.699011976585507000e+02,2.066470000000000000e+05,1.071830000000000000e+05,8.695376718403109439e-01
1.371428571428571441e+00,3.228487426633521409e+02,6.699011976585507000e+02,2.066550000000000000e+05,1.072350000000000000e+05,8.844679270770462454e-01
1.389795918367346950e+00,3.228482145810327211e+02,6.699011976585507000e+02,2.067480000000000000e+05,1.072120000000000000e+05,8.994966019621649655e-01
1.408163265306122458e+00,3.228605961604355343e+02,6.699011976585507000e+02,2.065820000000000000e+05,1.071680000000000000e+05,8.603309452129066504e-01
1.426530612244897966e+00,3.228459950553537965e+02,6.699011976585507000e+02,2.065150000000000000e+05,1.071390000000000000e+05,8.869946028179017672e-01
1.444897959183673475e+00,3.228494732327730503e+02,6.699011976585507000e+02,2.065000000000000000e+05,1.071460000000000000e+05,8.915839366783551156e-01
1.463265306122448983e+00,3.228462487167149106e+02,6.699011976585507000e+02,2.065240000000000000e+05,1.071970000000000000e+05,8.737234802435606129e-01
1.481632653061224492e+00,3.228492731278830092e+02,6.699011976585507000e+02,2.066220000000000000e+05,1.072510000000000000e+05,8.887143976897236008e-01
1.500000000000000000e+00,3.228344234086798679e+02,6.699011976585507000e+02,2.066610000000000000e+05,1.072190000000000000e+05,8.805013500875371601e-01
