I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.551020408163265030e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.734693877551020114e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.918367346938775198e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.102040816326530281e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.285714285714285365e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.469387755102040449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.653061224489795533e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.836734693877550617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.020408163265305701e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.204081632653061895e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.387755102040816979e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428572063e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.755102040816327147e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.938775510204082231e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.122448979591837315e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.306122448979592399e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.489795918367347483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.673469387755102566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.857142857142857650e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.004081632653061273e+00,2.500000000000000139e-02,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,7.584167424931759216e-01
1.022448979591836782e+00,7.031250000000000000e-02,0.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,6.619532702474458796e-01
1.040816326530612290e+00,2.046874999999999944e-01,0.000000000000000000e+00,1.310000000000000000e+02,0.000000000000000000e+00,7.473101797517700540e-01
1.059183673469387799e+00,4.546875000000000222e-01,0.000000000000000000e+00,2.910000000000000000e+02,0.000000000000000000e+00,8.107134504366434458e-01
1.077551020408163307e+00,1.176562499999999956e+00,0.000000000000000000e+00,7.530000000000000000e+02,0.000000000000000000e+00,8.781354157919021297e-01
1.095918367346938815e+00,2.575000000000000178e+00,3.081249999999999822e+00,1.648000000000000000e+03,4.930000000000000000e+02,8.331783802799206384e-01
1.114285714285714324e+00,7.035937500000000178e+00,1.590000000000000036e+01,4.503000000000000000e+03,2.544000000000000000e+03,9.595619878854348972e-01
1.132653061224489832e+00,1.159218749999999964e+01,2.450625000000000142e+01,7.419000000000000000e+03,3.921000000000000000e+03,9.244417316914155247e-01
1.151020408163265341e+00,1.540625000000000000e+01,3.628125000000000000e+01,9.860000000000000000e+03,5.805000000000000000e+03,8.834837373117762072e-01
1.169387755102040849e+00,1.743750000000000000e+01,3.795624999999999716e+01,1.116000000000000000e+04,6.073000000000000000e+03,8.924263586806110427e-01
1.187755102040816357e+00,2.042656249999999929e+01,5.305624999999999858e+01,1.307300000000000000e+04,8.489000000000000000e+03,9.363996302321430099e-01
1.206122448979591866e+00,2.007187499999999858e+01,4.123125000000000284e+01,1.284600000000000000e+04,6.597000000000000000e+03,8.836377125502192786e-01
1.224489795918367374e+00,2.190312499999999929e+01,4.970000000000000284e+01,1.401800000000000000e+04,7.952000000000000000e+03,9.312331963109695687e-01
1.242857142857142883e+00,2.216874999999999929e+01,5.041250000000000142e+01,1.418800000000000000e+04,8.066000000000000000e+03,9.452102162345947800e-01
1.261224489795918391e+00,2.318124999999999858e+01,4.928125000000000000e+01,1.483600000000000000e+04,7.885000000000000000e+03,9.142649519338007513e-01
1.279591836734693899e+00,2.401875000000000071e+01,4.819375000000000142e+01,1.537200000000000000e+04,7.711000000000000000e+03,8.935395653887223677e-01
1.297959183673469408e+00,2.429218750000000071e+01,4.638750000000000284e+01,1.554700000000000000e+04,7.422000000000000000e+03,8.809635151361373540e-01
1.316326530612244916e+00,2.516250000000000142e+01,5.132500000000000284e+01,1.610400000000000000e+04,8.212000000000000000e+03,9.276301991615381048e-01
1.334693877551020424e+00,2.655156249999999929e+01,5.134375000000000000e+01,1.699300000000000000e+04,8.215000000000000000e+03,9.398765939326304553e-01
1.353061224489795933e+00,2.722187500000000071e+01,5.936249999999999716e+01,1.742200000000000000e+04,9.498000000000000000e+03,9.647470179310740912e-01
1.371428571428571441e+00,2.717812500000000142e+01,5.466875000000000284e+01,1.739400000000000000e+04,8.747000000000000000e+03,9.788683189734298518e-01
1.389795918367346950e+00,2.746562499999999929e+01,4.988750000000000284e+01,1.757800000000000000e+04,7.982000000000000000e+03,9.733642314924406680e-01
1.408163265306122458e+00,2.902187500000000142e+01,5.823125000000000284e+01,1.857400000000000000e+04,9.317000000000000000e+03,9.746352169186320857e-01
1.426530612244897966e+00,3.017656249999999929e+01,6.587500000000000000e+01,1.931300000000000000e+04,1.054000000000000000e+04,9.800114361633929239e-01
1.444897959183673475e+00,3.305468750000000000e+01,6.629375000000000284e+01,2.115500000000000000e+04,1.060700000000000000e+04,9.769555894795288742e-01
1.463265306122448983e+00,3.482187499999999858e+01,7.029999999999999716e+01,2.228600000000000000e+04,1.124800000000000000e+04,9.539107388890365469e-01
1.481632653061224492e+00,3.980312500000000142e+01,7.365000000000000568e+01,2.547400000000000000e+04,1.178400000000000000e+04,9.577320655925102288e-01
1.500000000000000000e+00,4.495624999999999716e+01,7.645624999999999716e+01,2.877200000000000000e+04,1.223300000000000000e+04,9.624278997233945976e-01
