I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.551020408163265030e-01,4.531249999999999861e-02,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,4.770093802660763660e-01
6.734693877551020114e-01,1.281249999999999889e-01,0.000000000000000000e+00,8.200000000000000000e+01,0.000000000000000000e+00,2.073742738281156295e-01
6.918367346938775198e-01,6.921874999999999556e-01,0.000000000000000000e+00,4.430000000000000000e+02,0.000000000000000000e+00,2.042022748995265535e-01
7.102040816326530281e-01,1.899999999999999911e+00,0.000000000000000000e+00,1.216000000000000000e+03,0.000000000000000000e+00,2.266176485481926905e-01
7.285714285714285365e-01,4.221874999999999822e+00,0.000000000000000000e+00,2.702000000000000000e+03,0.000000000000000000e+00,1.658219387557033353e-01
7.469387755102040449e-01,8.162499999999999645e+00,0.000000000000000000e+00,5.224000000000000000e+03,0.000000000000000000e+00,5.786915000861674319e-01
7.653061224489795533e-01,1.262343749999999964e+01,0.000000000000000000e+00,8.079000000000000000e+03,0.000000000000000000e+00,2.374452337976150074e-01
7.836734693877550617e-01,1.519843750000000071e+01,1.531250000000000000e+00,9.727000000000000000e+03,2.450000000000000000e+02,6.327160884624533077e-01
8.020408163265305701e-01,1.220156249999999964e+01,1.230000000000000071e+01,7.809000000000000000e+03,1.968000000000000000e+03,9.394412825052798066e-01
8.204081632653061895e-01,1.377812499999999929e+01,1.546250000000000036e+01,8.818000000000000000e+03,2.474000000000000000e+03,9.311524108802665678e-01
8.387755102040816979e-01,1.530156249999999929e+01,1.745625000000000071e+01,9.793000000000000000e+03,2.793000000000000000e+03,9.976869117506657059e-01
8.571428571428572063e-01,1.685156250000000000e+01,1.875000000000000000e+01,1.078500000000000000e+04,3.000000000000000000e+03,1.013751803715208455e+00
8.755102040816327147e-01,1.732187499999999858e+01,1.875000000000000000e+01,1.108600000000000000e+04,3.000000000000000000e+03,9.880318004686672317e-01
8.938775510204082231e-01,1.889218749999999858e+01,2.000000000000000000e+01,1.209100000000000000e+04,3.200000000000000000e+03,9.988839582457614830e-01
9.122448979591837315e-01,2.025625000000000142e+01,2.125000000000000000e+01,1.296400000000000000e+04,3.400000000000000000e+03,9.812029657764294033e-01
9.306122448979592399e-01,2.057343750000000071e+01,2.125000000000000000e+01,1.316700000000000000e+04,3.400000000000000000e+03,9.743586100200186673e-01
9.489795918367347483e-01,2.196249999999999858e+01,2.250000000000000000e+01,1.405600000000000000e+04,3.600000000000000000e+03,9.992301321694807559e-01
9.673469387755102566e-01,2.321562499999999929e+01,2.375000000000000000e+01,1.485800000000000000e+04,3.800000000000000000e+03,9.947651034035861484e-01
9.857142857142857650e-01,2.339062500000000000e+01,2.368750000000000000e+01,1.497000000000000000e+04,3.790000000000000000e+03,9.766340702935185636e-01
1.004081632653061273e+00,2.351406250000000142e+01,2.375000000000000000e+01,1.504900000000000000e+04,3.800000000000000000e+03,9.404580953882715200e-01
1.022448979591836782e+00,2.478750000000000142e+01,2.500000000000000000e+01,1.586400000000000000e+04,4.000000000000000000e+03,9.913688785538007364e-01
1.040816326530612290e+00,2.609062499999999929e+01,2.625000000000000000e+01,1.669800000000000000e+04,4.200000000000000000e+03,9.885700442762185292e-01
1.059183673469387799e+00,2.611874999999999858e+01,2.625000000000000000e+01,1.671600000000000000e+04,4.200000000000000000e+03,9.874026014966431619e-01
1.077551020408163307e+00,2.739843750000000000e+01,2.750000000000000000e+01,1.753500000000000000e+04,4.400000000000000000e+03,1.002718399906597391e+00
1.095918367346938815e+00,2.805312500000000142e+01,2.750000000000000000e+01,1.795400000000000000e+04,4.400000000000000000e+03,9.970058532873552481e-01
1.114285714285714324e+00,2.769687499999999858e+01,2.875000000000000000e+01,1.772600000000000000e+04,4.600000000000000000e+03,9.832436527276372518e-01
1.132653061224489832e+00,2.871875000000000000e+01,2.875000000000000000e+01,1.838000000000000000e+04,4.600000000000000000e+03,9.979082953816531543e-01
1.151020408163265341e+00,2.873750000000000071e+01,2.875000000000000000e+01,1.839200000000000000e+04,4.600000000000000000e+03,9.941300871789903182e-01
1.169387755102040849e+00,2.999062500000000142e+01,3.000000000000000000e+01,1.919400000000000000e+04,4.800000000000000000e+03,9.950017242744235713e-01
1.187755102040816357e+00,3.118906249999999858e+01,3.021249999999999858e+01,1.996100000000000000e+04,4.834000000000000000e+03,9.933853765176084982e-01
1.206122448979591866e+00,3.125000000000000000e+01,3.125000000000000000e+01,2.000000000000000000e+04,5.000000000000000000e+03,1.000353644995190638e+00
1.224489795918367374e+00,3.250000000000000000e+01,3.250000000000000000e+01,2.080000000000000000e+04,5.200000000000000000e+03,9.608769953097817673e-01
1.242857142857142883e+00,3.249843750000000142e+01,3.250000000000000000e+01,2.079900000000000000e+04,5.200000000000000000e+03,9.777167744911083869e-01
1.261224489795918391e+00,3.318906249999999858e+01,3.375000000000000000e+01,2.124100000000000000e+04,5.400000000000000000e+03,1.005377878528446844e+00
1.279591836734693899e+00,3.253281249999999858e+01,3.250000000000000000e+01,2.082100000000000000e+04,5.200000000000000000e+03,9.869180896394526004e-01
1.297959183673469408e+00,3.375000000000000000e+01,3.375000000000000000e+01,2.160000000000000000e+04,5.400000000000000000e+03,9.612452838012846001e-01
1.316326530612244916e+00,3.470937500000000142e+01,3.375000000000000000e+01,2.221400000000000000e+04,5.400000000000000000e+03,9.782743534718895129e-01
1.334693877551020424e+00,3.500000000000000000e+01,3.500000000000000000e+01,2.240000000000000000e+04,5.600000000000000000e+03,9.908117843658538204e-01
1.353061224489795933e+00,3.625000000000000000e+01,3.625000000000000000e+01,2.320000000000000000e+04,5.800000000000000000e+03,1.002366362653557275e+00
1.371428571428571441e+00,3.625000000000000000e+01,3.625000000000000000e+01,2.320000000000000000e+04,5.800000000000000000e+03,9.912620808296601638e-01
1.389795918367346950e+00,3.750000000000000000e+01,3.750000000000000000e+01,2.400000000000000000e+04,6.000000000000000000e+03,9.933060988931634583e-01
1.408163265306122458e+00,3.749374999999999858e+01,3.750000000000000000e+01,2.399600000000000000e+04,6.000000000000000000e+03,9.836038730010093767e-01
1.426530612244897966e+00,3.799531249999999716e+01,3.875000000000000000e+01,2.431700000000000000e+04,6.200000000000000000e+03,9.939840155633126173e-01
1.444897959183673475e+00,3.750000000000000000e+01,3.750000000000000000e+01,2.400000000000000000e+04,6.000000000000000000e+03,9.898461763578592087e-01
1.463265306122448983e+00,3.875000000000000000e+01,3.875000000000000000e+01,2.480000000000000000e+04,6.200000000000000000e+03,9.891483705007036997e-01
1.481632653061224492e+00,3.875156249999999858e+01,3.875000000000000000e+01,2.480100000000000000e+04,6.200000000000000000e+03,9.785449115041053858e-01
1.500000000000000000e+00,4.000000000000000000e+01,4.000000000000000000e+01,2.560000000000000000e+04,6.400000000000000000e+03,1.000171682023217379e+00
