I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
6.551020408163265030e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
6.734693877551020114e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
6.918367346938775198e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
7.102040816326530281e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
7.285714285714285365e-01,0.000000000000000000e+00,4.349999999999999645e+00,0.000000000000000000e+00,6.960000000000000000e+02,0.000000000000000000e+00
7.469387755102040449e-01,0.000000000000000000e+00,4.325000000000000178e+00,0.000000000000000000e+00,6.920000000000000000e+02,0.000000000000000000e+00
7.653061224489795533e-01,9.374999999999999653e-03,4.375000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+02,3.774696481463395981e-01
7.836734693877550617e-01,6.406249999999999445e-02,4.506249999999999645e+00,4.100000000000000000e+01,7.210000000000000000e+02,2.182435814493648152e-01
8.020408163265305701e-01,1.312500000000000056e-01,4.662499999999999645e+00,8.400000000000000000e+01,7.460000000000000000e+02,2.710368365305402261e-01
8.204081632653061895e-01,3.328125000000000111e-01,5.118750000000000355e+00,2.130000000000000000e+02,8.190000000000000000e+02,2.972325212961893781e-01
8.387755102040816979e-01,9.984374999999999778e-01,7.843750000000000000e+00,6.390000000000000000e+02,1.255000000000000000e+03,7.459455737001433606e-01
8.571428571428572063e-01,2.434375000000000178e+00,1.450000000000000000e+01,1.558000000000000000e+03,2.320000000000000000e+03,8.697362639787659111e-01
8.755102040816327147e-01,4.601562500000000000e+00,1.945625000000000071e+01,2.945000000000000000e+03,3.113000000000000000e+03,9.893197941736139311e-01
8.938775510204082231e-01,6.346874999999999822e+00,1.995625000000000071e+01,4.062000000000000000e+03,3.193000000000000000e+03,9.739549976495528449e-01
9.122448979591837315e-01,8.167187500000000711e+00,2.154374999999999929e+01,5.227000000000000000e+03,3.447000000000000000e+03,9.282124326217665589e-01
9.306122448979592399e-01,9.404687499999999645e+00,2.202499999999999858e+01,6.019000000000000000e+03,3.524000000000000000e+03,8.614488145097741745e-01
9.489795918367347483e-01,1.017812499999999964e+01,2.285000000000000142e+01,6.514000000000000000e+03,3.656000000000000000e+03,8.649685448907572516e-01
9.673469387755102566e-01,1.187812500000000071e+01,2.457499999999999929e+01,7.602000000000000000e+03,3.932000000000000000e+03,8.912567372706071689e-01
9.857142857142857650e-01,1.410624999999999929e+01,2.880000000000000071e+01,9.028000000000000000e+03,4.608000000000000000e+03,9.199459642039556906e-01
1.004081632653061273e+00,1.681718749999999929e+01,3.297500000000000142e+01,1.076300000000000000e+04,5.276000000000000000e+03,9.676719963610203035e-01
1.022448979591836782e+00,1.778281249999999858e+01,3.446249999999999858e+01,1.138100000000000000e+04,5.514000000000000000e+03,9.934074757247177700e-01
1.040816326530612290e+00,1.952187500000000142e+01,3.643750000000000000e+01,1.249400000000000000e+04,5.830000000000000000e+03,9.995156501288952056e-01
1.059183673469387799e+00,2.009687500000000071e+01,3.708124999999999716e+01,1.286200000000000000e+04,5.933000000000000000e+03,9.853526528407159368e-01
1.077551020408163307e+00,2.133593750000000000e+01,3.774374999999999858e+01,1.365500000000000000e+04,6.039000000000000000e+03,9.783304825434142593e-01
1.095918367346938815e+00,2.096406250000000071e+01,3.738750000000000284e+01,1.341700000000000000e+04,5.982000000000000000e+03,9.678317250213771539e-01
1.114285714285714324e+00,2.085468750000000071e+01,3.665625000000000000e+01,1.334700000000000000e+04,5.865000000000000000e+03,9.570184447806473482e-01
1.132653061224489832e+00,2.222031249999999858e+01,3.691250000000000142e+01,1.422100000000000000e+04,5.906000000000000000e+03,9.789909430496001042e-01
1.151020408163265341e+00,2.230000000000000071e+01,3.677499999999999858e+01,1.427200000000000000e+04,5.884000000000000000e+03,9.570463129196928875e-01
1.169387755102040849e+00,2.361406249999999929e+01,3.706875000000000142e+01,1.511300000000000000e+04,5.931000000000000000e+03,9.745943606211288079e-01
1.187755102040816357e+00,2.448593749999999858e+01,3.583749999999999858e+01,1.567100000000000000e+04,5.734000000000000000e+03,9.617859659301833952e-01
1.206122448979591866e+00,2.490937500000000071e+01,3.720624999999999716e+01,1.594200000000000000e+04,5.953000000000000000e+03,9.702517841944852117e-01
1.224489795918367374e+00,2.575781250000000000e+01,3.739999999999999858e+01,1.648500000000000000e+04,5.984000000000000000e+03,9.734424490972614086e-01
1.242857142857142883e+00,2.497031249999999858e+01,3.651250000000000284e+01,1.598100000000000000e+04,5.842000000000000000e+03,9.307736052436473839e-01
1.261224489795918391e+00,2.621406250000000071e+01,3.685625000000000284e+01,1.677700000000000000e+04,5.897000000000000000e+03,8.802464119249808761e-01
1.279591836734693899e+00,2.746093750000000000e+01,3.804999999999999716e+01,1.757500000000000000e+04,6.088000000000000000e+03,8.090168681083980129e-01
1.297959183673469408e+00,2.864531249999999929e+01,4.020624999999999716e+01,1.833300000000000000e+04,6.433000000000000000e+03,8.924729067806664862e-01
1.316326530612244916e+00,2.992187500000000000e+01,4.117499999999999716e+01,1.915000000000000000e+04,6.588000000000000000e+03,7.654220752702111108e-01
1.334693877551020424e+00,3.077499999999999858e+01,4.150000000000000000e+01,1.969600000000000000e+04,6.640000000000000000e+03,6.701290637852985732e-01
1.353061224489795933e+00,2.996562499999999929e+01,4.013750000000000284e+01,1.917800000000000000e+04,6.422000000000000000e+03,7.321103146764074143e-01
1.371428571428571441e+00,3.121875000000000000e+01,4.141250000000000142e+01,1.998000000000000000e+04,6.626000000000000000e+03,7.351473672668340509e-01
1.389795918367346950e+00,3.371562500000000284e+01,4.238750000000000284e+01,2.157800000000000000e+04,6.782000000000000000e+03,7.226366564529780323e-01
1.408163265306122458e+00,3.252187500000000142e+01,4.195000000000000284e+01,2.081400000000000000e+04,6.712000000000000000e+03,7.808472534725280356e-01
1.426530612244897966e+00,3.875000000000000000e+01,4.264374999999999716e+01,2.480000000000000000e+04,6.823000000000000000e+03,9.333679115221009681e-01
1.444897959183673475e+00,4.000000000000000000e+01,4.314999999999999858e+01,2.560000000000000000e+04,6.904000000000000000e+03,9.720923253741207137e-01
1.463265306122448983e+00,4.125000000000000000e+01,4.386874999999999858e+01,2.640000000000000000e+04,7.019000000000000000e+03,9.885107392685570371e-01
1.481632653061224492e+00,4.248125000000000284e+01,4.471249999999999858e+01,2.718800000000000000e+04,7.154000000000000000e+03,9.747486235456124248e-01
1.500000000000000000e+00,4.130937500000000284e+01,4.446249999999999858e+01,2.643800000000000000e+04,7.114000000000000000e+03,9.850603388267196170e-01
