I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
6.551020408163265030e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
6.734693877551020114e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
6.918367346938775198e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
7.102040816326530281e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
7.285714285714285365e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
7.469387755102040449e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
7.653061224489795533e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
7.836734693877550617e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.020408163265305701e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.204081632653061895e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.387755102040816979e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.571428571428572063e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.755102040816327147e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
8.938775510204082231e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
9.122448979591837315e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
9.306122448979592399e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
9.489795918367347483e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
9.673469387755102566e-01,0.000000000000000000e+00,5.562500000000000222e-01,0.000000000000000000e+00,8.900000000000000000e+01,0.000000000000000000e+00
