I_E,rate_E_hz,rate_I_hz,spikes_E,spikes_I,rhythmicity
5.999999999999999778e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
6.183673469387754862e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
6.367346938775509946e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
6.551020408163265030e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
6.734693877551020114e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
6.918367346938775198e-01,0.000000000000000000e+00,2.410043360773185039e+00,0.000000000000000000e+00,3.830000000000000000e+02,0.000000000000000000e+00
7.102040816326530281e-01,6.243247874539806617e+02,6.699011976585507000e+02,3.996100000000000000e+05,1.072540000000000000e+05,8.098514921806504452e-01
7.285714285714285365e-01,6.242948159838770152e+02,6.699011976585507000e+02,3.995660000000000000e+05,1.071510000000000000e+05,9.055810013386690338e-01
7.469387755102040449e-01,6.242994103521574516e+02,6.699011976585507000e+02,3.995390000000000000e+05,1.071940000000000000e+05,8.664400606666999849e-01
7.653061224489795533e-01,6.244339439701850552e+02,6.699011976585507000e+02,3.996520000000000000e+05,1.072370000000000000e+05,7.779628331551535769e-01
7.836734693877550617e-01,6.243360873503531820e+02,6.699011976585507000e+02,3.995580000000000000e+05,1.071760000000000000e+05,7.380555732742137831e-01
8.020408163265305701e-01,6.243378142976164327e+02,6.699011976585507000e+02,3.995800000000000000e+05,1.071950000000000000e+05,7.482434489592321158e-01
8.204081632653061895e-01,6.243065787793959771e+02,6.699011976585507000e+02,3.995550000000000000e+05,1.071790000000000000e+05,8.343918906020195703e-01
8.387755102040816979e-01,6.243273714366737295e+02,6.699011976585507000e+02,3.995670000000000000e+05,1.071900000000000000e+05,8.511491256822949492e-01
8.571428571428572063e-01,6.242726410573026214e+02,6.699011976585507000e+02,3.995500000000000000e+05,1.071960000000000000e+05,8.643501438486718147e-01
8.755102040816327147e-01,6.242544349516384727e+02,6.699011976585507000e+02,3.995160000000000000e+05,1.071670000000000000e+05,8.227547950372335883e-01
8.938775510204082231e-01,6.242673999101949676e+02,6.699011976585507000e+02,3.995180000000000000e+05,1.071890000000000000e+05,8.309437595334361326e-01
9.122448979591837315e-01,6.243196168388971046e+02,6.699011976585507000e+02,3.995430000000000000e+05,1.072030000000000000e+05,8.276646314251041581e-01
9.306122448979592399e-01,6.243454786622341999e+02,6.699011976585507000e+02,3.995730000000000000e+05,1.071480000000000000e+05,7.882296129975235877e-01
9.489795918367347483e-01,6.242066607740110840e+02,6.699011976585507000e+02,3.994660000000000000e+05,1.071990000000000000e+05,7.842644219053429566e-01
9.673469387755102566e-01,6.242894851944482753e+02,6.699011976585507000e+02,3.995470000000000000e+05,1.071470000000000000e+05,8.186141093013354908e-01
9.857142857142857650e-01,6.242594612320007172e+02,6.699011976585507000e+02,3.995480000000000000e+05,1.072280000000000000e+05,8.560486277428890345e-01
1.004081632653061273e+00,6.242149215472862807e+02,6.699011976585507000e+02,3.994740000000000000e+05,1.071580000000000000e+05,8.111768917260500089e-01
1.022448979591836782e+00,6.242439508320818504e+02,6.699011976585507000e+02,3.995480000000000000e+05,1.071930000000000000e+05,6.670222218887033039e-01
1.040816326530612290e+00,6.241544434839538553e+02,6.699011976585507000e+02,3.994660000000000000e+05,1.072120000000000000e+05,7.660651865195342580e-01
1.059183673469387799e+00,6.242153271785167590e+02,6.699011976585507000e+02,3.994710000000000000e+05,1.071600000000000000e+05,7.243012871336300673e-01
1.077551020408163307e+00,6.241223362901962446e+02,6.699011976585507000e+02,3.994550000000000000e+05,1.071710000000000000e+05,6.823841998445741019e-01
1.095918367346938815e+00,6.241154639901920973e+02,6.699011976585507000e+02,3.994520000000000000e+05,1.072260000000000000e+05,6.949856990569562853e-01
1.114285714285714324e+00,6.241749691919686711e+02,6.699011976585507000e+02,3.994420000000000000e+05,1.071640000000000000e+05,4.832517860168981660e-01
1.132653061224489832e+00,6.240885014175771630e+02,6.699011976585507000e+02,3.993990000000000000e+05,1.071600000000000000e+05,7.262559564082876618e-01
1.151020408163265341e+00,6.240339881995085989e+02,6.699011976585507000e+02,3.993800000000000000e+05,1.071890000000000000e+05,7.050399575158337040e-01
1.169387755102040849e+00,6.241230115319593779e+02,6.699011976585507000e+02,3.994630000000000000e+05,1.072260000000000000e+05,5.221396057108900202e-01
1.187755102040816357e+00,6.241258483157579349e+02,6.699011976585507000e+02,3.994570000000000000e+05,1.071970000000000000e+05,6.450895962655067706e-01
