scan_value,lagged_coherence,mean_pairwise_xcorr_peak,coherence_peak,autocorr_peak
0.000000000,0.000000000,0.005082753,0.020106946,0.122347648
0.000444444,0.000000000,0.006923320,0.027197582,0.114528604
0.000888889,0.000000000,0.027114448,0.033673649,0.324772165
0.001333333,0.000000000,0.036823291,0.043816946,0.377922027
0.001777778,0.000000000,0.061325256,0.058062590,0.561169533
0.002222222,0.000000000,0.074000106,0.071257167,0.721223063
0.002666667,0.000000000,0.116598854,0.099461928,0.867732141
0.003111111,0.000000000,0.147090212,0.133851283,0.905895405
0.003555556,0.000000000,0.162220888,0.152983520,0.905248350
0.004000000,0.000000000,0.169990194,0.178501524,0.883183732
