scan_value,lagged_coherence,mean_pairwise_xcorr_peak,coherence_peak,autocorr_peak
0.000000000,0.000000000,0.005082753,0.020106946,0.122347648
0.000888889,0.000000000,0.005723602,0.026621363,0.205478159
0.001777778,0.000000000,0.007644041,0.038107016,0.341219122
0.002666667,0.000000000,0.027315912,0.036306985,0.395202299
0.003555556,0.000000000,0.038988900,0.037349359,0.475958886
0.004444444,0.000000000,0.056881321,0.061451045,0.559016837
0.005333333,0.000000000,0.073211901,0.067197787,0.604701847
0.006222222,0.000000000,0.108191268,0.098729284,0.797061328
0.007111111,0.000000000,0.135525729,0.112390245,0.897256840
0.008000000,0.000000000,0.155758274,0.139065500,0.894972474
